latitude,longitude,vibe,elevation,weather,time_of_day,population,cultural_aspect,language
13.248369443513887,77.59728986613739,beach,39,cloudy,evening,405235,laid-back,Tamil
26.06432213,85.89456321,mountain,1928,snow,night,164845,tribal,Bhutia
25.22772053,83.86637265,spiritual,650,cloudy,night,329177,spiritual,Sanskrit
11.54307933,78.9299252,forest,1101,cloudy,early-morning,4155,tribal,Hindi
17.1940933199658,84.00342450157055,temple-town,252,clear,night,733925,spiritual,Tamil
14.937414824914464,78.60720214278345,beach,51,humid,afternoon,133286,laid-back,Malayalam
26.16070468,91.7267684,cultural,708,warm,afternoon,746863,festive,Gujarati
23.50792519691114,84.58805792991907,cultural,14,cloudy,evening,586276,festive,Tamil
24.30302800033641,83.08614922155384,spiritual,748,foggy,afternoon,286422,meditative,Tibetan
15.337238622373537,78.76061447284758,coastal-city,145,cloudy,night,12112116,modern,English
26.1445,91.7362,urban,110,haze,night,4922218,mixed,English
25.37673865,82.69289713,spiritual,857,clear,afternoon,138373,meditative,Sanskrit
24.33622475,77.34710037,heritage,219,haze,evening,381925,historical,Marathi
23.829027978600905,78.73820052863776,cultural,695,clear,afternoon,634953,festive,Gujarati
23.33215358562483,86.0012875480677,hill-town,1567,cloudy,afternoon,120960,colonial,English
22.4261087,78.91780865,urban,266,clear,night,4838836,modern,Marathi
26.33527638,81.65765277,city,286,rainy,morning,2739134,mixed,Telugu
25.99098976,83.82259262,spiritual,372,calm,evening,450692,spiritual,Tibetan
25.57256116,81.19800878,city,45,haze,early-morning,624950,mixed,Bengali
15.46962091,79.26101335,coastal-city,77,rainy,night,4122130,mixed,English
24.9009687,84.05322951,spiritual,632,clear,early-morning,479104,meditative,Hindi
18.060332701023405,83.35099047042253,temple-town,208,humid,afternoon,432713,traditional,Sanskrit
11.3638294,78.79525342,forest,1091,rainy,early-morning,68656,tribal,Local Tribal Language
17.77764343,84.47784454,temple-town,959,warm,evening,682105,spiritual,Sanskrit
26.18666812,80.88184788,city,179,clear,evening,11525268,modern,Hindi
13.531441633446876,78.17284475141888,beach,31,clear,afternoon,224350,laid-back,Tamil
26.44956928,80.33270587,city,221,cloudy,afternoon,8358391,mixed,Bengali
15.27091409,79.1615914,coastal-city,163,cloudy,evening,5068273,mixed,Tamil
11.73343349,79.76621511,beach,70,clear,morning,372391,laid-back,Malayalam
14.34847555,75.76480787,hill-town,1225,cloudy,evening,108316,traditional,Nepali
9.3057,76.5809,backwater,25,clear,early-morning,7170,ethnic,Malayalam
9.213268818,76.24043523,backwater,1,rainy,evening,31019,ethnic,Malayalam
25.4849175,84.76213625,cultural,440,cloudy,afternoon,91656,festive,Gujarati
20.09567098,78.10088193,rural,100,rainy,afternoon,10831,traditional,Marathi
9.422599707,77.24941301,backwater,63,humid,evening,6339,traditional,Malayalam
25.31666439094197,82.9748311587807,spiritual,798,cloudy,evening,482225,meditative,Hindi
23.54418945,86.0459136,hill-town,1361,cloudy,early-morning,108162,traditional,Hindi
11.19381247,77.73212564,forest,1103,foggy,afternoon,79307,nature-based,Hindi
12.90215732,78.41630218,beach,51,breezy,night,237511,maritime,Konkani
24.64671125,77.30968264,heritage,315,cloudy,morning,56712,traditional,Tamil
25.15036732,85.63886068,cultural,111,haze,night,113505,heritage-rich,Tamil
19.899439945201447,78.94005748055633,rural,102,haze,night,73601,traditional,Marathi
24.13743346,77.2598061,heritage,800,clear,morning,662922,traditional,Hindi
20.11270395,78.76472014,rural,161,rainy,afternoon,43615,agrarian,Marathi
14.95033139,78.52775618,coastal-city,105,clear,evening,9754241,maritime,Tamil
21.1458,79.0882,urban,18,cloudy,night,3682621,mixed,Hindi
25.40479925,80.50220035,city,195,rainy,afternoon,10677284,modern,English
23.4571913,76.84827712,heritage,413,cloudy,evening,506689,historical,Tamil
24.77325165245115,85.16309444977658,cultural,267,haze,morning,766143,festive,Bengali
9.853208498,80.23268398,coastal,31,rainy,evening,351580,traditional,Odia
27.59201314,86.44115108,mountain,1389,snow,evening,97440,tribal,Hindi
13.96297853,78.36033929,beach,69,clear,afternoon,105723,maritime,Malayalam
25.77345576,82.83147334,spiritual,535,cloudy,morning,369133,spiritual,Hindi
16.55060746,83.64204739,temple-town,287,warm,night,497435,traditional,Tamil
24.5854,73.7125,heritage,611,haze,evening,62510,historical,Marathi
11.84503326,79.3730968,forest,1036,cloudy,afternoon,69645,nature-based,Local Tribal Language
23.77593652,85.68530162,hill-town,1396,cloudy,early-morning,24267,colonial,Hindi
12.148951217387022,79.47515980328826,forest,202,humid,evening,21941,nature-based,Hindi
24.70510273,84.50005708,cultural,193,haze,evening,87674,heritage-rich,Tamil
25.60841225,81.4484373,city,264,haze,night,8431735,mixed,Telugu
23.176588011891404,75.78830187638698,urban,127,clear,afternoon,1466295,modern,Hindi
14.44033543,77.98389721,beach,9,clear,morning,95467,laid-back,Malayalam
25.17924551,80.58546032,city,1,cloudy,afternoon,3298129,modern,Bengali
